TVD,X,Y,MD,AZIMUT,INCLINACION
21.0,517440.0,2109860.0,60.0,180.0,0.0
51.0,517440.0,2109860.0,90.0,180.0,0.0
81.0,517440.0,2109860.0,120.0,180.0,0.0
111.0,517440.0,2109860.0,150.0,180.0,0.0
141.0,517440.0,2109860.0,180.0,180.0,0.0
171.0,517440.0,2109860.0,210.0,180.0,0.0
201.0,517440.0,2109860.0,240.0,180.0,0.0
231.0,517440.0,2109860.0,270.0,180.0,0.0
261.0,517440.0,2109860.0,300.0,180.0,0.0
291.0,517440.0,2109860.0,330.0,180.0,0.0
321.0,517440.0,2109860.0,360.0,180.0,0.0
351.0,517440.0,2109860.0,390.0,180.0,0.0
381.0,517440.0,2109860.0,420.0,180.0,0.0
411.0,517440.0,2109860.0,450.0,180.0,0.0
441.0,517440.0,2109860.0,480.0,180.0,0.0
471.0,517440.0,2109860.0,510.0,180.0,0.0
501.0,517440.0,2109860.0,540.0,180.0,0.0
531.0,517440.0,2109860.0,570.0,180.0,0.0
561.0,517440.0,2109860.0,600.0,180.0,0.0
591.0,517440.0,2109860.0,630.0,180.0,0.0
621.0,517440.0,2109860.0,660.0,180.0,0.0
651.0,517440.0,2109860.0,690.0,180.0,0.0
681.0,517440.0,2109860.0,720.0,180.0,0.0
711.0,517440.0,2109860.0,750.0,180.0,0.0
741.0,517440.0,2109860.0,780.0,180.0,0.0
771.0,517440.0,2109860.0,810.0,180.0,0.0
801.0,517440.0,2109860.0,840.0,180.0,0.0
831.0,517440.0,2109860.0,870.0,180.0,0.0
861.0,517440.0,2109860.0,900.0,180.0,0.0
891.0,517440.0,2109860.0,930.0,180.0,0.0
921.0,517440.0,2109860.0,960.0,180.0,0.0
951.0,517440.0,2109860.0,990.0,180.0,0.0
981.0,517440.0,2109860.0,1020.0,180.0,0.0
1011.0,517440.0,2109860.0,1050.0,180.0,0.0
1041.0,517440.0,2109860.0,1080.0,180.0,0.0
1071.0,517440.0,2109860.0,1110.0,180.0,0.0
1101.0,517440.0,2109860.0,1140.0,180.0,0.0
1131.0,517440.0,2109860.0,1170.0,180.0,0.0
1161.0,517440.0,2109860.0,1200.0,180.0,0.0
1191.0,517440.0,2109860.0,1230.0,180.0,0.0
1221.0,517440.0,2109860.0,1260.0,180.0,0.0
1251.0,517440.0,2109860.0,1290.0,180.0,0.0
1281.0,517440.0,2109860.0,1320.0,180.0,0.0
1311.0,517440.0,2109860.0,1350.0,180.0,0.0
1341.0,517440.0,2109860.0,1380.0,180.0,0.0
1371.0,517440.0,2109860.0,1410.0,180.0,0.0
1401.0,517440.0,2109860.0,1440.0,180.0,0.0
1431.0,517440.0,2109860.0,1470.0,180.0,0.0
1461.0,517440.0,2109860.0,1500.0,180.0,0.0
1491.0,517440.0,2109860.0,1530.0,180.0,0.0
1521.0,517440.0,2109860.0,1560.0,180.0,0.0
1551.0,517440.0,2109860.0,1590.0,180.0,0.0
1581.0,517440.0,2109860.0,1620.0,180.0,0.0
1611.0,517440.0,2109860.0,1650.0,180.0,0.0
1641.0,517440.0,2109860.0,1680.0,180.0,0.0
1671.0,517440.0,2109860.0,1710.0,180.0,0.0
1701.0,517440.0,2109860.0,1740.0,180.0,0.0
1731.0,517440.0,2109860.0,1770.0,180.0,0.0
1761.0,517440.0,2109860.0,1800.0,180.0,0.0
1791.0,517440.0,2109860.0,1830.0,180.0,0.0
1821.0,517440.0,2109860.0,1860.0,180.0,0.0
1851.0,517440.0,2109860.0,1890.0,180.0,0.0
1881.0,517440.0,2109860.0,1920.0,180.0,0.0
1911.0,517440.0,2109860.0,1950.0,180.0,0.0
1941.0,517440.0,2109860.0,1980.0,180.0,0.0
1971.0,517440.0,2109860.0,2010.0,180.0,0.0
2001.0,517440.0,2109860.0,2040.0,180.0,0.0
2031.0,517440.0,2109860.0,2070.0,180.0,0.0
2061.0,517440.0,2109860.0,2100.0,180.0,0.0
2091.0,517440.0,2109860.0,2130.0,180.0,0.0
2121.0,517440.0,2109860.0,2160.0,180.0,0.0
2151.0,517440.0,2109860.0,2190.0,180.0,0.0
2181.0,517440.0,2109860.0,2220.0,180.0,0.0
2211.0,517440.0,2109860.0,2250.0,180.0,0.0
2241.0,517440.0,2109860.0,2280.0,180.0,0.0
2271.0,517440.0,2109860.0,2310.0,180.0,0.0
2301.0,517440.0,2109860.0,2340.0,180.0,0.0
2331.0,517440.0,2109860.0,2370.0,180.0,0.0
2361.0,517440.0,2109860.0,2400.0,180.0,0.0
2391.0,517440.0,2109860.0,2430.0,180.0,0.0
2421.0,517440.0,2109860.0,2460.0,180.0,0.0
2451.0,517440.0,2109860.0,2490.0,180.0,0.0
2481.0,517440.0,2109860.0,2520.0,180.0,0.0
2511.0,517440.0,2109860.0,2550.0,180.0,0.0
2541.0,517440.0,2109860.0,2580.0,180.0,0.0
2571.0,517440.0,2109860.0,2610.0,180.0,0.0
2601.0,517440.0,2109860.0,2640.0,180.0,0.0
2631.0,517440.0,2109860.0,2670.0,180.0,0.0
2661.0,517440.0,2109860.0,2700.0,180.0,0.0
2691.0,517440.0,2109860.0,2730.0,180.0,0.0
2721.0,517440.0,2109860.0,2760.0,180.0,0.0
2751.0,517440.0,2109860.0,2790.0,180.0,0.0
2781.0,517440.0,2109860.0,2820.0,180.0,0.0
2811.0,517440.0,2109860.0,2850.0,180.0,0.0
2841.0,517440.0,2109860.0,2880.0,180.0,0.0
2871.0,517440.0,2109860.0,2910.0,180.0,0.0
2901.0,517440.0,2109860.0,2940.0,180.0,0.0
2931.0,517440.0,2109860.0,2970.0,180.0,0.0
2961.0,517440.0,2109860.0,3000.0,180.0,0.0
2991.0,517440.0,2109860.0,3030.0,180.0,0.0
3021.0,517440.0,2109860.0,3060.0,180.0,0.0
3051.0,517440.0,2109860.0,3090.0,180.0,0.0
3081.0,517440.0,2109860.0,3120.0,180.0,0.0
3111.0,517440.0,2109860.0,3150.0,180.0,0.0
3141.0,517440.0,2109860.0,3180.0,180.0,0.0
3171.0,517440.0,2109860.0,3210.0,180.0,0.0
3201.0,517440.0,2109860.0,3240.0,180.0,0.0
3231.0,517440.0,2109860.0,3270.0,180.0,0.0
3261.0,517440.0,2109860.0,3300.0,180.0,0.0
3291.0,517440.0,2109860.0,3330.0,180.0,0.0
3321.0,517440.0,2109860.0,3360.0,180.0,0.0
3351.0,517440.0,2109860.0,3390.0,180.0,0.0
3381.0,517440.0,2109860.0,3420.0,180.0,0.0
3411.0,517440.0,2109860.0,3450.0,180.0,0.0
3441.0,517440.0,2109860.0,3480.0,180.0,0.0
3471.0,517440.0,2109860.0,3510.0,180.0,0.0
